Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,8.630000,8.720000,8.612500,8.702500,8.408158,14384400
2014-05-27,8.803333,8.868333,8.788333,8.866667,8.566769,8616000
2014-05-28,8.864167,8.903333,8.801667,8.841667,8.542619,10154400
2014-05-29,8.902500,8.980833,8.840000,8.979167,8.675464,8726400
2014-05-30,8.958333,9.040000,8.931667,9.016667,8.711698,11775600
2014-06-02,9.059167,9.066667,8.922500,9.056667,8.750345,8799600
2014-06-03,8.988333,9.053333,8.965000,9.042500,8.736654,8576400
2014-06-04,8.985000,9.108333,8.963333,9.086667,8.779329,12621600
2014-06-05,9.125000,9.299167,9.026667,9.275000,8.961292,13269600
2014-06-06,9.333333,9.410833,9.318333,9.406667,9.088508,8180400
2014-06-09,9.397500,9.500833,9.375000,9.432500,9.113467,10455600
2014-06-10,9.398333,9.440000,9.338333,9.439167,9.119908,6728400
2014-06-11,9.339167,9.366667,9.273333,9.344167,9.028120,14004000
2014-06-12,9.299167,9.316667,9.076667,9.140000,8.830862,15594000
2014-06-13,9.192500,9.245000,9.101667,9.223333,8.911378,10756800
2014-06-16,9.181667,9.298333,9.150000,9.239167,8.926676,15340800
2014-06-17,9.200000,9.336667,9.175000,9.313333,8.998330,9880800
2014-06-18,9.315833,9.539167,9.265000,9.525833,9.203643,14527200
2014-06-19,9.547500,9.572500,9.456667,9.557500,9.234236,10465200
2014-06-20,9.625833,9.629167,9.580000,9.615833,9.290599,8389200
2014-06-23,9.616667,9.627500,9.552500,9.604167,9.279325,7203600
2014-06-24,9.549167,9.691667,9.396667,9.430000,9.111047,15608400
2014-06-25,9.360000,9.577500,9.360000,9.547500,9.230696,10405200
2014-06-26,9.552500,9.553333,9.338333,9.533333,9.216999,12081600
2014-06-27,9.460000,9.592500,9.450000,9.586667,9.268560,8779200
2014-06-30,9.567500,9.633333,9.541667,9.571667,9.254058,10904400
2014-07-01,9.638333,9.845000,9.629167,9.758333,9.434530,13686000
2014-07-02,9.758333,9.821667,9.747500,9.784167,9.459508,6730800
2014-07-03,9.868333,9.942500,9.853333,9.931667,9.602116,5523600
2014-07-07,9.875833,9.899167,9.784167,9.833333,9.507042,9716400
2014-07-08,9.769167,9.780000,9.565833,9.645833,9.325764,15727200
2014-07-09,9.705000,9.790833,9.649167,9.766667,9.442589,8826000
2014-07-10,9.485833,9.726667,9.459167,9.649167,9.328984,13298400
2014-07-11,9.638333,9.708333,9.569167,9.695000,9.373298,10245600
2014-07-14,9.833333,9.874167,9.800000,9.830833,9.504624,7644000
2014-07-15,9.855000,9.910833,9.655000,9.780000,9.455482,12788400
2014-07-16,9.905000,9.930833,9.810000,9.886667,9.558610,11082000
2014-07-17,9.792500,9.908333,9.508333,9.547500,9.230696,20302800
